code,value,date,freq
AP2Y,680.0,2001-04-01,q
AP2Y,680.0,2001-05-01,m
AP2Y,674.0,2001-06-01,m
AP2Y,663.0,2001-07-01,m
AP2Y,663.0,2001-07-01,q
AP2Y,663.0,2001-08-01,m
AP2Y,639.0,2001-09-01,m
AP2Y,626.0,2001-10-01,m
AP2Y,602.0,2001-10-01,q
AP2Y,602.0,2001-11-01,m
AP2Y,605.0,2001-12-01,m
AP2Y,612.0,2002-01-01,a
AP2Y,616.0,2002-01-01,m
AP2Y,617.0,2002-01-01,q
AP2Y,617.0,2002-02-01,m
AP2Y,622.0,2002-03-01,m
AP2Y,613.0,2002-04-01,m
AP2Y,616.0,2002-04-01,q
AP2Y,616.0,2002-05-01,m
AP2Y,612.0,2002-06-01,m
AP2Y,613.0,2002-07-01,m
AP2Y,609.0,2002-07-01,q
AP2Y,609.0,2002-08-01,m
AP2Y,609.0,2002-09-01,m
AP2Y,608.0,2002-10-01,m
AP2Y,603.0,2002-10-01,q
AP2Y,603.0,2002-11-01,m
AP2Y,602.0,2002-12-01,m
AP2Y,593.0,2003-01-01,a
AP2Y,596.0,2003-01-01,m
AP2Y,594.0,2003-01-01,q
AP2Y,594.0,2003-02-01,m
AP2Y,585.0,2003-03-01,m
AP2Y,588.0,2003-04-01,m
AP2Y,579.0,2003-04-01,q
AP2Y,579.0,2003-05-01,m
AP2Y,574.0,2003-06-01,m
AP2Y,576.0,2003-07-01,m
AP2Y,592.0,2003-07-01,q
AP2Y,592.0,2003-08-01,m
AP2Y,604.0,2003-09-01,m
AP2Y,610.0,2003-10-01,m
AP2Y,615.0,2003-10-01,q
AP2Y,615.0,2003-11-01,m
AP2Y,613.0,2003-12-01,m
AP2Y,641.0,2004-01-01,a
AP2Y,617.0,2004-01-01,m
AP2Y,624.0,2004-01-01,q
AP2Y,624.0,2004-02-01,m
AP2Y,631.0,2004-03-01,m
AP2Y,636.0,2004-04-01,m
AP2Y,641.0,2004-04-01,q
AP2Y,641.0,2004-05-01,m
AP2Y,652.0,2004-06-01,m
AP2Y,654.0,2004-07-01,m
AP2Y,654.0,2004-07-01,q
AP2Y,654.0,2004-08-01,m
AP2Y,654.0,2004-09-01,m
AP2Y,658.0,2004-10-01,m
AP2Y,662.0,2004-10-01,q
AP2Y,662.0,2004-11-01,m
AP2Y,661.0,2004-12-01,m
AP2Y,632.0,2005-01-01,a
AP2Y,655.0,2005-01-01,m
AP2Y,642.0,2005-01-01,q
AP2Y,642.0,2005-02-01,m
AP2Y,638.0,2005-03-01,m
AP2Y,642.0,2005-04-01,m
AP2Y,642.0,2005-04-01,q
AP2Y,642.0,2005-05-01,m
AP2Y,633.0,2005-06-01,m
AP2Y,624.0,2005-07-01,m
AP2Y,622.0,2005-07-01,q
AP2Y,622.0,2005-08-01,m
AP2Y,608.0,2005-09-01,m
AP2Y,606.0,2005-10-01,m
AP2Y,609.0,2005-10-01,q
AP2Y,609.0,2005-11-01,m
AP2Y,615.0,2005-12-01,m
AP2Y,609.0,2006-01-01,a
AP2Y,612.0,2006-01-01,m
AP2Y,600.0,2006-01-01,q
AP2Y,600.0,2006-02-01,m
AP2Y,598.0,2006-03-01,m
AP2Y,597.0,2006-04-01,m
AP2Y,604.0,2006-04-01,q
AP2Y,604.0,2006-05-01,m
AP2Y,607.0,2006-06-01,m
AP2Y,611.0,2006-07-01,m
AP2Y,611.0,2006-07-01,q
AP2Y,611.0,2006-08-01,m
AP2Y,618.0,2006-09-01,m
AP2Y,620.0,2006-10-01,m
AP2Y,620.0,2006-10-01,q
AP2Y,620.0,2006-11-01,m
AP2Y,619.0,2006-12-01,m
AP2Y,662.0,2007-01-01,a
AP2Y,629.0,2007-01-01,m
AP2Y,642.0,2007-01-01,q
AP2Y,642.0,2007-02-01,m
AP2Y,648.0,2007-03-01,m
AP2Y,651.0,2007-04-01,m
AP2Y,659.0,2007-04-01,q
AP2Y,659.0,2007-05-01,m
AP2Y,670.0,2007-06-01,m
AP2Y,681.0,2007-07-01,m
AP2Y,683.0,2007-07-01,q
AP2Y,683.0,2007-08-01,m
AP2Y,686.0,2007-09-01,m
AP2Y,691.0,2007-10-01,m
AP2Y,687.0,2007-10-01,q
AP2Y,687.0,2007-11-01,m
AP2Y,678.0,2007-12-01,m
AP2Y,638.0,2008-01-01,a
AP2Y,687.0,2008-01-01,m
AP2Y,697.0,2008-01-01,q
AP2Y,697.0,2008-02-01,m
AP2Y,696.0,2008-03-01,m
AP2Y,679.0,2008-04-01,m
AP2Y,657.0,2008-04-01,q
AP2Y,657.0,2008-05-01,m
AP2Y,643.0,2008-06-01,m
AP2Y,624.0,2008-07-01,m
AP2Y,615.0,2008-07-01,q
AP2Y,615.0,2008-08-01,m
AP2Y,596.0,2008-09-01,m
AP2Y,562.0,2008-10-01,m
AP2Y,527.0,2008-10-01,q
AP2Y,527.0,2008-11-01,m
AP2Y,497.0,2008-12-01,m
AP2Y,450.0,2009-01-01,a
AP2Y,478.0,2009-01-01,m
AP2Y,465.0,2009-01-01,q
AP2Y,465.0,2009-02-01,m
AP2Y,455.0,2009-03-01,m
AP2Y,443.0,2009-04-01,m
AP2Y,431.0,2009-04-01,q
AP2Y,431.0,2009-05-01,m
AP2Y,430.0,2009-06-01,m
AP2Y,438.0,2009-07-01,m
AP2Y,436.0,2009-07-01,q
AP2Y,436.0,2009-08-01,m
AP2Y,432.0,2009-09-01,m
AP2Y,437.0,2009-10-01,m
AP2Y,454.0,2009-10-01,q
AP2Y,454.0,2009-11-01,m
AP2Y,463.0,2009-12-01,m
AP2Y,469.0,2010-01-01,a
AP2Y,467.0,2010-01-01,m
AP2Y,465.0,2010-01-01,q
AP2Y,465.0,2010-02-01,m
AP2Y,469.0,2010-03-01,m
AP2Y,479.0,2010-04-01,m
AP2Y,484.0,2010-04-01,q
AP2Y,484.0,2010-05-01,m
AP2Y,479.0,2010-06-01,m
AP2Y,461.0,2010-07-01,m
AP2Y,455.0,2010-07-01,q
AP2Y,455.0,2010-08-01,m
AP2Y,454.0,2010-09-01,m
AP2Y,474.0,2010-10-01,m
AP2Y,483.0,2010-10-01,q
AP2Y,483.0,2010-11-01,m
AP2Y,493.0,2010-12-01,m
AP2Y,470.0,2011-01-01,a
AP2Y,490.0,2011-01-01,m
AP2Y,484.0,2011-01-01,q
AP2Y,484.0,2011-02-01,m
AP2Y,472.0,2011-03-01,m
AP2Y,461.0,2011-04-01,m
AP2Y,461.0,2011-04-01,q
AP2Y,461.0,2011-05-01,m
AP2Y,457.0,2011-06-01,m
AP2Y,462.0,2011-07-01,m
AP2Y,464.0,2011-07-01,q
AP2Y,464.0,2011-08-01,m
AP2Y,466.0,2011-09-01,m
AP2Y,462.0,2011-10-01,m
AP2Y,465.0,2011-10-01,q
AP2Y,465.0,2011-11-01,m
AP2Y,473.0,2011-12-01,m
AP2Y,480.0,2012-01-01,a
AP2Y,473.0,2012-01-01,m
AP2Y,467.0,2012-01-01,q
AP2Y,467.0,2012-02-01,m
AP2Y,465.0,2012-03-01,m
AP2Y,471.0,2012-04-01,m
AP2Y,474.0,2012-04-01,q
AP2Y,474.0,2012-05-01,m
AP2Y,480.0,2012-06-01,m
AP2Y,484.0,2012-07-01,m
AP2Y,488.0,2012-07-01,q
AP2Y,488.0,2012-08-01,m
AP2Y,490.0,2012-09-01,m
AP2Y,494.0,2012-10-01,m
AP2Y,501.0,2012-10-01,q
AP2Y,501.0,2012-11-01,m
AP2Y,500.0,2012-12-01,m
AP2Y,533.0,2013-01-01,a
AP2Y,505.0,2013-01-01,m
AP2Y,504.0,2013-01-01,q
AP2Y,504.0,2013-02-01,m
AP2Y,516.0,2013-03-01,m
AP2Y,523.0,2013-04-01,m
AP2Y,534.0,2013-04-01,q
AP2Y,534.0,2013-05-01,m
AP2Y,540.0,2013-06-01,m
AP2Y,536.0,2013-07-01,m
AP2Y,548.0,2013-07-01,q
AP2Y,548.0,2013-08-01,m
AP2Y,552.0,2013-09-01,m
AP2Y,567.0,2013-10-01,m
AP2Y,572.0,2013-10-01,q
AP2Y,572.0,2013-11-01,m
AP2Y,581.0,2013-12-01,m
AP2Y,658.0,2014-01-01,a
AP2Y,595.0,2014-01-01,m
AP2Y,616.0,2014-01-01,q
AP2Y,616.0,2014-02-01,m
AP2Y,638.0,2014-03-01,m
AP2Y,654.0,2014-04-01,m
AP2Y,663.0,2014-04-01,q
AP2Y,663.0,2014-05-01,m
AP2Y,670.0,2014-06-01,m
AP2Y,681.0,2014-07-01,m
AP2Y,687.0,2014-07-01,q
AP2Y,687.0,2014-08-01,m
AP2Y,702.0,2014-09-01,m
AP2Y,703.0,2014-10-01,m
AP2Y,707.0,2014-10-01,q
AP2Y,707.0,2014-11-01,m
AP2Y,708.0,2014-12-01,m
AP2Y,733.0,2015-01-01,a
AP2Y,720.0,2015-01-01,m
AP2Y,729.0,2015-01-01,q
AP2Y,729.0,2015-02-01,m
AP2Y,728.0,2015-03-01,m
AP2Y,728.0,2015-04-01,m
AP2Y,732.0,2015-04-01,q
AP2Y,732.0,2015-05-01,m
AP2Y,742.0,2015-06-01,m
AP2Y,742.0,2015-07-01,m
AP2Y,742.0,2015-07-01,q
AP2Y,742.0,2015-08-01,m
AP2Y,741.0,2015-09-01,m
AP2Y,742.0,2015-10-01,m
AP2Y,743.0,2015-10-01,q
AP2Y,743.0,2015-11-01,m
AP2Y,746.0,2015-12-01,m
AP2Y,751.0,2016-01-01,a
AP2Y,745.0,2016-01-01,m
AP2Y,746.0,2016-01-01,q
AP2Y,746.0,2016-02-01,m
AP2Y,745.0,2016-03-01,m
AP2Y,748.0,2016-04-01,m
AP2Y,750.0,2016-04-01,q
AP2Y,750.0,2016-05-01,m
AP2Y,749.0,2016-06-01,m
AP2Y,753.0,2016-07-01,m
AP2Y,755.0,2016-07-01,q
AP2Y,755.0,2016-08-01,m
AP2Y,762.0,2016-09-01,m
AP2Y,758.0,2016-10-01,m
AP2Y,758.0,2016-10-01,q
AP2Y,758.0,2016-11-01,m
AP2Y,754.0,2016-12-01,m
AP2Y,790.0,2017-01-01,a
AP2Y,767.0,2017-01-01,m
AP2Y,773.0,2017-01-01,q
AP2Y,773.0,2017-02-01,m
AP2Y,788.0,2017-03-01,m
AP2Y,783.0,2017-04-01,m
AP2Y,782.0,2017-04-01,q
AP2Y,782.0,2017-05-01,m
AP2Y,785.0,2017-06-01,m
AP2Y,794.0,2017-07-01,m
AP2Y,799.0,2017-07-01,q
AP2Y,799.0,2017-08-01,m
AP2Y,809.0,2017-09-01,m
AP2Y,819.0,2017-10-01,m
AP2Y,821.0,2017-10-01,q
AP2Y,821.0,2017-11-01,m
AP2Y,822.0,2017-12-01,m
AP2Y,835.0,2018-01-01,a
AP2Y,815.0,2018-01-01,m
AP2Y,814.0,2018-01-01,q
AP2Y,814.0,2018-02-01,m
AP2Y,812.0,2018-03-01,m
AP2Y,819.0,2018-04-01,m
AP2Y,829.0,2018-04-01,q
AP2Y,829.0,2018-05-01,m
AP2Y,839.0,2018-06-01,m
AP2Y,843.0,2018-07-01,m
AP2Y,844.0,2018-07-01,q
AP2Y,844.0,2018-08-01,m
AP2Y,862.0,2018-09-01,m
AP2Y,861.0,2018-10-01,m
AP2Y,856.0,2018-10-01,q
AP2Y,856.0,2018-11-01,m
AP2Y,859.0,2018-12-01,m
AP2Y,828.0,2019-01-01,a
AP2Y,847.0,2019-01-01,m
AP2Y,845.0,2019-01-01,q
AP2Y,845.0,2019-02-01,m
AP2Y,840.0,2019-03-01,m
AP2Y,835.0,2019-04-01,m
AP2Y,821.0,2019-04-01,q
AP2Y,821.0,2019-05-01,m
AP2Y,823.0,2019-06-01,m
AP2Y,816.0,2019-07-01,m
AP2Y,817.0,2019-07-01,q
AP2Y,817.0,2019-08-01,m
AP2Y,810.0,2019-09-01,m
AP2Y,807.0,2019-10-01,m
AP2Y,810.0,2019-10-01,q
AP2Y,810.0,2019-11-01,m
AP2Y,816.0,2019-12-01,m
AP2Y,570.0,2020-01-01,a
AP2Y,819.0,2020-01-01,m
AP2Y,796.0,2020-01-01,q
AP2Y,796.0,2020-02-01,m
AP2Y,638.0,2020-03-01,m
AP2Y,472.0,2020-04-01,m
AP2Y,328.0,2020-04-01,q
AP2Y,328.0,2020-05-01,m
AP2Y,371.0,2020-06-01,m
AP2Y,429.0,2020-07-01,m
AP2Y,488.0,2020-07-01,q
AP2Y,488.0,2020-08-01,m
AP2Y,531.0,2020-09-01,m
AP2Y,557.0,2020-10-01,m
AP2Y,600.0,2020-10-01,q
AP2Y,600.0,2020-11-01,m
AP2Y,619.0,2020-12-01,m
AP2Y,913.0,2021-01-01,a
AP2Y,621.0,2021-01-01,m
AP2Y,628.0,2021-01-01,q
AP2Y,628.0,2021-02-01,m
AP2Y,663.0,2021-03-01,m
AP2Y,765.0,2021-04-01,m
AP2Y,867.0,2021-04-01,q
AP2Y,867.0,2021-05-01,m
AP2Y,971.0,2021-06-01,m
AP2Y,1052.0,2021-07-01,m
AP2Y,1122.0,2021-07-01,q
AP2Y,1122.0,2021-08-01,m
AP2Y,1194.0,2021-09-01,m
AP2Y,1218.0,2021-10-01,m
AP2Y,1241.0,2021-10-01,q
AP2Y,1241.0,2021-11-01,m
AP2Y,1257.0,2021-12-01,m
AP2Y,1253.0,2022-01-01,a
AP2Y,1273.0,2022-01-01,m
AP2Y,1286.0,2022-01-01,q
AP2Y,1286.0,2022-02-01,m
AP2Y,1296.0,2022-03-01,m
AP2Y,1304.0,2022-04-01,m
AP2Y,1299.0,2022-04-01,q
AP2Y,1299.0,2022-05-01,m
AP2Y,1280.0,2022-06-01,m
AP2Y,1259.0,2022-07-01,m
AP2Y,1233.0,2022-07-01,q
AP2Y,1233.0,2022-08-01,m
AP2Y,1216.0,2022-09-01,m
AP2Y,1175.0,2022-10-01,m
AP2Y,1153.0,2022-10-01,q
AP2Y,1153.0,2022-11-01,m
AP2Y,1132.0,2022-12-01,m
AP2Y,1035.0,2023-01-01,a
AP2Y,1128.0,2023-01-01,m
AP2Y,1120.0,2023-01-01,q
AP2Y,1120.0,2023-02-01,m
AP2Y,1086.0,2023-03-01,m
AP2Y,1060.0,2023-04-01,m
AP2Y,1039.0,2023-04-01,q
AP2Y,1039.0,2023-05-01,m
AP2Y,1024.0,2023-06-01,m
AP2Y,1000.0,2023-07-01,m
AP2Y,983.0,2023-07-01,q
AP2Y,983.0,2023-08-01,m
AP2Y,961.0,2023-09-01,m
AP2Y,955.0,2023-10-01,m
AP2Y,930.0,2023-10-01,q
AP2Y,930.0,2023-11-01,m
AP2Y,924.0,2023-12-01,m
AP2Y,871.0,2024-01-01,a
AP2Y,916.0,2024-01-01,m
AP2Y,919.0,2024-01-01,q
AP2Y,919.0,2024-02-01,m
AP2Y,909.0,2024-03-01,m
AP2Y,899.0,2024-04-01,m
AP2Y,875.0,2024-04-01,q
AP2Y,875.0,2024-05-01,m
AP2Y,866.0,2024-06-01,m
AP2Y,850.0,2024-07-01,m
AP2Y,836.0,2024-07-01,q
AP2Y,836.0,2024-08-01,m
AP2Y,827.0,2024-09-01,m
AP2Y,813.0,2024-10-01,m
AP2Y,812.0,2024-10-01,q
AP2Y,812.0,2024-11-01,m
