new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.6
E06000002,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.9
E06000003,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.9
E06000004,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.8
E06000005,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.6
E06000006,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.6
E06000007,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,18.1
E06000008,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.2
E06000009,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,4.4
E06000010,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,18.6
E06000011,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,20.2
E06000012,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.5
E06000013,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.9
E06000014,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,19.0
E06000015,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.9
E06000016,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.1
E06000017,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,19.3
E06000018,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,7.7
E06000019,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.8
E06000020,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.8
E06000021,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,10.9
E06000022,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.6
E06000023,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.4
E06000024,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.8
E06000025,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.0
E06000026,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.9
E06000027,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,10.9
E06000030,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.6
E06000031,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.0
E06000032,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,10.9
E06000033,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.9
E06000034,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.9
E06000035,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.8
E06000036,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.6
E06000037,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.2
E06000038,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,10.0
E06000039,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.3
E06000040,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.4
E06000041,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.8
E06000042,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.2
E06000043,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.3
E06000044,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,8.1
E06000045,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.9
E06000046,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.8
E06000047,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.3
E06000049,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,21.5
E06000050,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.7
E06000051,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,18.3
E06000052,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.9
E06000053,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,55.8
E06000054,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.1
E06000055,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.8
E06000056,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.4
E06000057,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,8.8
E06000058,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.1
E06000059,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.3
E06000060,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.3
E06000061,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.3
E06000062,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.2
E06000063,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.2
E06000064,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,20.4
E06000065,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.3
E06000066,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.4
E08000001,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.1
E08000002,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,20.4
E08000003,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.5
E08000004,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.4
E08000005,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.6
E08000006,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.4
E08000007,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.4
E08000008,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.5
E08000009,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,19.3
E08000010,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.9
E08000011,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,6.4
E08000012,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,10.0
E08000013,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.7
E08000014,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.7
E08000015,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.6
E08000016,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.7
E08000017,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.6
E08000018,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.6
E08000019,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.0
E08000021,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,8.9
E08000022,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.8
E08000023,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.3
E08000024,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.1
E08000025,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.1
E08000026,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.8
E08000027,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.7
E08000028,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.2
E08000029,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.3
E08000030,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.2
E08000031,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,10.8
E08000032,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.6
E08000033,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.6
E08000034,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.8
E08000035,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.4
E08000036,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.8
E08000037,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.0
E09000002,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.0
E09000003,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,19.3
E09000004,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.6
E09000005,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.6
E09000006,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.7
E09000007,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.0
E09000008,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.6
E09000009,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.6
E09000010,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.1
E09000011,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.1
E09000012,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,18.8
E09000013,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.2
E09000014,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,18.3
E09000015,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.3
E09000016,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.2
E09000017,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.0
E09000018,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.1
E09000019,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.8
E09000020,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,24.0
E09000021,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,21.5
E09000022,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.8
E09000023,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,11.6
E09000024,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,22.1
E09000025,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.1
E09000026,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,19.3
E09000027,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,22.3
E09000028,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,18.0
E09000029,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.2
E09000030,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,18.0
E09000031,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.3
E09000032,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.9
E09000033,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,23.2
E10000003,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.4
E10000007,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.7
E10000008,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.3
E10000011,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.3
E10000012,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.1
E10000013,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.5
E10000014,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,16.2
E10000015,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.7
E10000016,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.0
E10000017,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,10.6
E10000018,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,14.5
E10000019,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.0
E10000020,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.6
E10000024,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,7.8
E10000025,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.7
E10000028,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,13.6
E10000029,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,9.8
E10000030,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,17.3
E10000031,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,15.5
E10000032,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.0
E10000034,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_att8,12.2
